name;200;left;,path;200;left;ro,created;80;right;,tag;100;left;ro,comment;260;left;,a;100;left;,b;20;left;
a,D:\test\a,2016-03-05,,,,
a - 副本,D:\test\a - 副本,2016-03-05,;asdfasdf;mnafad;nnnn,,,
0409,C:\Windows\System32\0409,2016-03-05,[NEW],,,
12520437,C:\Windows\System32\12520437.cpx,2016-03-05,[NEW],,,
12520850,C:\Windows\System32\12520850.cpx,2016-03-05,[NEW],,,
360rescue,C:\Windows\System32\360rescue.img,2016-03-05,[NEW],,,
360SoftMgr,C:\Windows\System32\360SoftMgr.cpl,2016-03-05,,,,
7B296FB0-376B-497e-B012-9C450E1B7327-5P-0,C:\Windows\System32\7B296FB0-376B-497e-B012-9C450E1B7327-5P-0.C7483456-A289-439d-8115-601632D005A0,2016-03-05,,,,
7B296FB0-376B-497e-B012-9C450E1B7327-5P-1,C:\Windows\System32\7B296FB0-376B-497e-B012-9C450E1B7327-5P-1.C7483456-A289-439d-8115-601632D005A0,2016-03-05,,,,
activeds,C:\Windows\System32\activeds.tlb,2016-03-05,,,,
AdapterTroubleshooter,C:\Windows\System32\AdapterTroubleshooter.exe,2016-03-05,,,,
AdvancedInstallers,C:\Windows\System32\AdvancedInstallers,2016-03-05,,,,
aitagent,C:\Windows\System32\aitagent.exe,2016-03-05,[NEW],,,
aitstatic,C:\Windows\System32\aitstatic.exe,2016-03-05,[NEW],,,
alg,C:\Windows\System32\alg.exe,2016-03-05,[NEW],,,
aliedit,C:\Windows\System32\aliedit,2016-03-05,[NEW],,,
amcompat,C:\Windows\System32\amcompat.tlb,2016-03-05,[NEW],,,
ANSI,C:\Windows\System32\ANSI.SYS,2016-03-05,[NEW],,,
append,C:\Windows\System32\append.exe,2016-03-05,[NEW],,,
appidcertstorecheck,C:\Windows\System32\appidcertstorecheck.exe,2016-03-05,[NEW],,,
appidpolicyconverter,C:\Windows\System32\appidpolicyconverter.exe,2016-03-05,[NEW],,,
appmgmt,C:\Windows\System32\appmgmt,2016-03-05,[NEW],,,
appraiser,C:\Windows\System32\appraiser,2016-03-05,[NEW],,,
appwiz,C:\Windows\System32\appwiz.cpl,2016-03-05,[NEW],,,
ar-SA,C:\Windows\System32\ar-SA,2016-03-05,[NEW],,,
ARP,C:\Windows\System32\ARP.EXE,2016-03-05,[NEW],,,
at,C:\Windows\System32\at.exe,2016-03-05,[NEW],,,
AtBroker,C:\Windows\System32\AtBroker.exe,2016-03-05,[NEW],,,
attrib,C:\Windows\System32\attrib.exe,2016-03-05,[NEW],,,
audiodg,C:\Windows\System32\audiodg.exe,2016-03-05,[NEW],,,
auditpol,C:\Windows\System32\auditpol.exe,2016-03-05,[NEW],,,
autochk,C:\Windows\System32\autochk.exe,2016-03-05,[NEW],,,
autoconv,C:\Windows\System32\autoconv.exe,2016-03-05,[NEW],,,
autoexec,C:\Windows\System32\autoexec.nt,2016-03-05,[NEW],,,
autofmt,C:\Windows\System32\autofmt.exe,2016-03-05,[NEW],,,
AxInstUI,C:\Windows\System32\AxInstUI.exe,2016-03-05,[NEW],,,
azman,C:\Windows\System32\azman.msc,2016-03-05,[NEW],,,
bcdboot,C:\Windows\System32\bcdboot.exe,2016-03-05,[NEW],,,
bcdedit,C:\Windows\System32\bcdedit.exe,2016-03-05,[NEW],,,
bdaplgin,C:\Windows\System32\bdaplgin.ax,2016-03-05,[NEW],,,
BdeUISrv,C:\Windows\System32\BdeUISrv.exe,2016-03-05,[NEW],,,
BdeUnlockWizard,C:\Windows\System32\BdeUnlockWizard.exe,2016-03-05,[NEW],,,
BFE,C:\Windows\System32\BFE.DLL,2016-03-05,[NEW],,,
bg-BG,C:\Windows\System32\bg-BG,2016-03-05,[NEW],,,
bios1,C:\Windows\System32\bios1.rom,2016-03-05,[NEW],,,
bios4,C:\Windows\System32\bios4.rom,2016-03-05,[NEW],,,
bitsadmin,C:\Windows\System32\bitsadmin.exe,2016-03-05,[NEW],,,
Boot,C:\Windows\System32\Boot,2016-03-05,[NEW],,,
boot,C:\Windows\System32\boot.sdi,2016-03-05,[NEW],,,
bootcfg,C:\Windows\System32\bootcfg.exe,2016-03-05,[NEW],,,
BOOTVID,C:\Windows\System32\BOOTVID.DLL,2016-03-05,[NEW],,,
bopomofo,C:\Windows\System32\bopomofo.uce,2016-03-05,[NEW],,,
bridgeunattend,C:\Windows\System32\bridgeunattend.exe,2016-03-05,[NEW],,,
bthprops,C:\Windows\System32\bthprops.cpl,2016-03-05,[NEW],,,
bthudtask,C:\Windows\System32\bthudtask.exe,2016-03-05,[NEW],,,
Bubbles,C:\Windows\System32\Bubbles.scr,2016-03-05,[NEW],,,
cacls,C:\Windows\System32\cacls.exe,2016-03-05,[NEW],,,
calc,C:\Windows\System32\calc.exe,2016-03-05,[NEW],,,
catroot,C:\Windows\System32\catroot,2016-03-05,[NEW],,,
catroot2,C:\Windows\System32\catroot2,2016-03-05,[NEW],,,
cero,C:\Windows\System32\cero.rs,2016-03-05,[NEW],,,
CertEnrollCtrl,C:\Windows\System32\CertEnrollCtrl.exe,2016-03-05,[NEW],,,
certmgr,C:\Windows\System32\certmgr.msc,2016-03-05,[NEW],,,
certreq,C:\Windows\System32\certreq.exe,2016-03-05,[NEW],,,
certutil,C:\Windows\System32\certutil.exe,2016-03-05,[NEW],,,
chajei,C:\Windows\System32\chajei.ime,2016-03-05,[NEW],,,
change,C:\Windows\System32\change.exe,2016-03-05,[NEW],,,
charmap,C:\Windows\System32\charmap.exe,2016-03-05,[NEW],,,
